dataset,dataset_label,player,player_key,target,horizon,winner,combined_source_label,combined_better_side,combined_side_edge_pp,combined_abs_side_edge_pp,combined_hac_p,combined_evidence,best_single_source,best_single_source_label,best_single_better_side,best_single_side_edge_pp,best_single_abs_side_edge_pp,best_single_hac_p,best_single_evidence,combined_minus_best_single_abs_edge_pp,combined_positive_avg_return,combined_negative_avg_return,best_single_positive_avg_return,best_single_negative_avg_return,winner_rank,strongest_abs_edge_pp
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,26w,combined,Combined SP+NQ-VIX,negative,-7.935757828942329,7.935757828942329,0.3825192796632435,weak/mixed,sp500,S&P 500 only,negative,-7.611692826419169,7.611692826419169,0.3371972898562063,weak/mixed,0.3240650025231595,2.866794796226753,10.802552625169081,3.007706212482668,10.619399038901838,0,7.935757828942329
tff,TFF Detailed,Leveraged Funds,lev_money,S&P 500,26w,combined,Combined SP+NQ-VIX,negative,-5.185319277611397,5.185319277611397,0.3798882363619214,weak/mixed,sp500,S&P 500 only,negative,-4.059015640214492,4.059015640214492,0.4684649116774585,weak/mixed,1.126303637396905,2.0068690888526395,7.192188366464036,2.9777731465587953,7.036788786773287,0,5.185319277611397
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,13w,combined,Combined SP+NQ-VIX,negative,-4.946305381837566,4.946305381837566,0.3252543175591885,weak/mixed,sp500,S&P 500 only,negative,-4.028319285075726,4.028319285075726,0.4996888231754552,weak/mixed,0.9179860967618394,0.4526172340801098,5.398922615917676,1.2319955572506156,5.260314842326342,0,4.946305381837566
tff,TFF Detailed,Leveraged Funds,lev_money,S&P 500,13w,combined,Combined SP+NQ-VIX,negative,-2.5679126220648323,2.5679126220648323,0.41430584199449566,weak/mixed,sp500,S&P 500 only,negative,-1.7146911952703323,1.7146911952703323,0.665271871035364,weak/mixed,0.8532214267945,1.0156756690007873,3.58358829106562,1.7825895388836621,3.4972807341539944,0,2.5679126220648323
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,4w,combined,Combined SP+NQ-VIX,negative,-2.1677030789417997,2.1677030789417997,0.17645658747873547,weak/mixed,vix_inverse,"VIX only, inverted",positive,0.9326324965360153,0.9326324965360153,0.5239455010676042,none,1.2350705824057844,-0.4686265046560869,1.6990765742857128,1.6081661894233994,0.6755336928873841,0,2.1677030789417997
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,4w,combined,Combined SP+NQ-VIX,negative,-1.0126385343255042,1.0126385343255042,0.1521051998649021,weak/mixed,sp500,S&P 500 only,negative,-0.7507330132090089,0.7507330132090089,0.27969908941729926,none,0.26190552111649534,1.159836881532612,2.1724754158581163,1.2034930950325948,1.9542261082416037,0,1.0126385343255042
tff,TFF Detailed,Leveraged Funds,lev_money,NASDAQ-100,1w,combined,Combined SP+NQ-VIX,negative,-0.6874949512219476,0.6874949512219476,0.24768321103607377,none,nq,NASDAQ-100 only,positive,0.09360505454366197,0.09360505454366197,0.7306182149437779,none,0.5938898966782856,-0.2505085422145139,0.4369864090074337,0.4720780755090178,0.37847302096535584,0,0.6874949512219476
tff,TFF Detailed,Leveraged Funds,lev_money,S&P 500,1w,combined,Combined SP+NQ-VIX,negative,-0.4701065126301358,0.4701065126301358,0.3819528349016984,none,nq,NASDAQ-100 only,positive,0.08457453481455351,0.08457453481455351,0.6792714896359529,none,0.3855319778155823,-0.1771579954880225,0.29294851714211334,0.33337528351810825,0.24880074870355473,0,0.4701065126301358
legacy,Legacy,Commercial,commercial,NASDAQ-100,26w,single,Combined SP+NQ-VIX,positive,5.664555658142961,5.664555658142961,0.06840219923333304,tentative,sp500,S&P 500 only,positive,7.042280139694881,7.042280139694881,0.016550464577822596,supported,-1.3777244815519207,14.493038934588387,8.828483276445427,14.682229014985618,7.639948875290736,1,7.042280139694881
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,26w,single,Combined SP+NQ-VIX,negative,-5.516614698554285,5.516614698554285,0.04542880239842685,supported,sp500,S&P 500 only,negative,-6.365372580533621,6.365372580533621,0.030324565602490416,supported,-0.8487578819793358,8.210238223579529,13.726852922133814,7.313434154101997,13.678806734635618,1,6.365372580533621
legacy,Legacy,Commercial,commercial,S&P 500,26w,single,Combined SP+NQ-VIX,positive,3.95716828171528,3.95716828171528,0.0493394991662956,supported,sp500,S&P 500 only,positive,5.319410332892292,5.319410332892292,0.008676813314438444,supported,-1.3622420511770121,9.792007789512292,5.834839507797012,10.1716965264658,4.852286193573508,1,5.319410332892292
legacy,Legacy,Noncommercial,noncommercial,S&P 500,26w,single,Combined SP+NQ-VIX,negative,-4.316471710662982,4.316471710662982,0.021544378370295447,supported,sp500,S&P 500 only,negative,-5.24935602979065,5.24935602979065,0.004118523213148641,supported,-0.9328843191276679,5.225834161589236,9.542305872252218,4.397092552371672,9.646448582162321,1,5.24935602979065
legacy,Legacy,Nonreportable,nonreportable,NASDAQ-100,26w,single,Combined SP+NQ-VIX,negative,-2.2158324714595174,2.2158324714595174,0.5394530051707088,weak/mixed,sp500,S&P 500 only,negative,-4.148759368747381,4.148759368747381,0.2249309876796728,weak/mixed,-1.9329268972878637,9.569030471397271,11.784862942856789,9.0174769394942,13.166236308241581,1,4.148759368747381
tff,TFF Detailed,Non-reportable,non_reportable,NASDAQ-100,26w,single,Combined SP+NQ-VIX,negative,-2.2158324714595174,2.2158324714595174,0.5394530051707088,weak/mixed,sp500,S&P 500 only,negative,-4.148759368747381,4.148759368747381,0.2249309876796728,weak/mixed,-1.9329268972878637,9.569030471397271,11.784862942856789,9.0174769394942,13.166236308241581,1,4.148759368747381
legacy,Legacy,Nonreportable,nonreportable,S&P 500,26w,single,Combined SP+NQ-VIX,negative,-0.9492330691017967,0.9492330691017967,0.7139499081914814,none,nq,NASDAQ-100 only,positive,4.105939665146272,4.105939665146272,0.009518921002799798,supported,-3.156706596044475,6.555642562499844,7.5048756316016405,9.09159158907032,4.985651923924049,1,4.105939665146272
tff,TFF Detailed,Non-reportable,non_reportable,S&P 500,26w,single,Combined SP+NQ-VIX,negative,-0.9492330691017967,0.9492330691017967,0.7139499081914814,none,nq,NASDAQ-100 only,positive,4.105939665146272,4.105939665146272,0.009518921002799798,supported,-3.156706596044475,6.555642562499844,7.5048756316016405,9.09159158907032,4.985651923924049,1,4.105939665146272
legacy,Legacy,Commercial,commercial,NASDAQ-100,13w,single,Combined SP+NQ-VIX,positive,2.8513553611727795,2.8513553611727795,0.19624476635032032,weak/mixed,vix_inverse,"VIX only, inverted",positive,3.607765693351971,3.607765693351971,0.049780339958506475,supported,-0.7564103321791915,7.170693226219946,4.319337865047166,8.494718844461595,4.886953151109624,1,3.607765693351971
legacy,Legacy,Noncommercial,noncommercial,NASDAQ-100,13w,single,Combined SP+NQ-VIX,negative,-2.228520023182254,2.228520023182254,0.24017535892694042,weak/mixed,vix_inverse,"VIX only, inverted",negative,-3.373365053994106,3.373365053994106,0.06428016079110975,tentative,-1.1448450308118518,4.2196918508089984,6.448211873991252,4.901240428175245,8.27460548216935,1,3.373365053994106
