dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,NASDAQ-100,13w,470,-0.1645909351411453,-0.15622568627445318,-0.8402559208338064,-3.284001513208599,0.0010234437286524563,470,141,141,3.07312727472891,6.172845429718429,-3.0997181549895196,64.53900709219859,79.43262411347519,-8.051893011060232,-5.073636235101044,0.15622568627445318,3.0997181549895196,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,S&P 500,13w,470,-0.15690047887875794,-0.14452071241184358,-0.5981404644078826,-3.226505002009302,0.0012531204163416933,470,141,141,1.8284770685255,4.3341228513357795,-2.505645782810279,64.53900709219859,82.26950354609929,-7.158439059624356,-4.024859673878442,0.14452071241184358,2.505645782810279,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,NASDAQ-100,4w,470,-0.19082078505125535,-0.18328154784900738,-0.5659204322837621,-3.0049294570018916,0.002656424514891774,470,141,141,0.13127174968132024,2.556825955572321,-2.425554205891001,51.77304964539007,77.30496453900709,-4.905875018908659,-2.0587983428017766,0.18328154784900738,2.425554205891001,supported,0
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,26w,461,-0.31747303559996926,-0.3325883020120501,-2.344666526480313,-2.045738576582801,0.0407820981487182,461,139,139,2.429611962335635,13.649608933066826,-11.219996970731192,56.11510791366906,89.92805755395683,-12.42293888296015,-5.178665207132009,0.3325883020120501,11.219996970731192,supported,0
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,26w,461,0.2797752708862581,0.3157994980592359,1.8798608899658518,2.0355292186089238,0.0417976516499459,461,139,139,14.171920299416486,3.199911133793316,10.97200916562317,88.48920863309353,61.87050359712231,-5.284952376805183,-13.490258764050846,0.3157994980592359,10.97200916562317,supported,0
tff,TFF Detailed,Non-reportable,non_reportable,flow4_z,NASDAQ-100,13w,470,-0.17283129364396926,-0.09648570498137544,-0.8671742266500212,-1.9924629053814065,0.046320291304234026,470,141,141,3.813679118149896,6.60616887282417,-2.7924897546742735,72.3404255319149,73.75886524822694,-5.551748676473281,-6.3231130088400125,0.09648570498137544,2.7924897546742735,supported,0
legacy,Legacy,Nonreportable,nonreportable,flow4_z,NASDAQ-100,13w,470,-0.17283129364396926,-0.09648570498137544,-0.8671742266500212,-1.9924629053814065,0.046320291304234026,470,141,141,3.813679118149896,6.60616887282417,-2.7924897546742735,72.3404255319149,73.75886524822694,-5.551748676473281,-6.3231130088400125,0.09648570498137544,2.7924897546742735,supported,0
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,S&P 500,4w,470,-0.1670502290765489,-0.16175882055657864,-0.39304588503583066,-2.609428174947351,0.009069368289247922,470,141,141,-0.17083055239788533,1.773126727222151,-1.9439572796200362,54.60992907801418,81.56028368794325,-4.134823476683381,-1.5651623796888954,0.16175882055657864,1.9439572796200362,tentative,1
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,4w,470,-0.18661501469759242,-0.15506489776352014,-0.49851295432029374,-2.4457746642548184,0.014454130640350744,470,141,141,1.4305638562593275,2.8118914489797224,-1.381327592720395,64.53900709219859,74.46808510638297,-2.9094188124288807,-3.174116052773397,0.15506489776352014,1.381327592720395,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,4w,470,-0.18661501469759242,-0.15506489776352014,-0.49851295432029374,-2.4457746642548184,0.014454130640350744,470,141,141,1.4305638562593275,2.8118914489797224,-1.381327592720395,64.53900709219859,74.46808510638297,-2.9094188124288807,-3.174116052773397,0.15506489776352014,1.381327592720395,tentative,1
