category,relationship,position_metric,pearson_r,observations,return_metric
noncommercial,weekly change in noncommercial net/OI pct vs weekly price return,noncommercial_net_oi_pct_change,0.13569970736261555,559,
noncommercial,weekly change in noncommercial net/OI pct vs next monday close return,noncommercial_net_oi_pct_change,-0.011134734099070736,558,next_week_monday_return
noncommercial,weekly change in noncommercial net/OI pct vs next monday single-day return,noncommercial_net_oi_pct_change,-0.011134734099070736,558,next_week_monday_daily_return
noncommercial,weekly change in noncommercial net/OI pct vs next tuesday close return,noncommercial_net_oi_pct_change,-0.045314270509549316,558,next_week_tuesday_return
noncommercial,weekly change in noncommercial net/OI pct vs next tuesday single-day return,noncommercial_net_oi_pct_change,-0.06688908142649225,558,next_week_tuesday_daily_return
noncommercial,weekly change in noncommercial net/OI pct vs next wednesday close return,noncommercial_net_oi_pct_change,-0.04838158457709975,558,next_week_wednesday_return
noncommercial,weekly change in noncommercial net/OI pct vs next wednesday single-day return,noncommercial_net_oi_pct_change,-0.011973390991078121,558,next_week_wednesday_daily_return
noncommercial,weekly change in noncommercial net/OI pct vs next thursday close return,noncommercial_net_oi_pct_change,-0.033377087094627444,558,next_week_thursday_return
noncommercial,weekly change in noncommercial net/OI pct vs next thursday single-day return,noncommercial_net_oi_pct_change,0.004163884770250867,558,next_week_thursday_daily_return
noncommercial,weekly change in noncommercial net/OI pct vs next friday close return,noncommercial_net_oi_pct_change,-0.0441134113868818,558,next_week_friday_return
noncommercial,weekly change in noncommercial net/OI pct vs next friday single-day return,noncommercial_net_oi_pct_change,-0.016755234631372705,558,next_week_friday_daily_return
noncommercial,weekly change in noncommercial net/OI pct vs next week Monday-Friday return,noncommercial_net_oi_pct_change,-0.046919548556609514,558,next_week_mon_fri_return
noncommercial,weekly change in noncommercial net contracts vs weekly price return,noncommercial_net_change,0.2166675528335369,559,
noncommercial,weekly change in noncommercial net contracts vs next monday close return,noncommercial_net_change,-0.016113250577788455,558,next_week_monday_return
noncommercial,weekly change in noncommercial net contracts vs next monday single-day return,noncommercial_net_change,-0.016113250577788455,558,next_week_monday_daily_return
noncommercial,weekly change in noncommercial net contracts vs next tuesday close return,noncommercial_net_change,-0.06050686514209238,558,next_week_tuesday_return
noncommercial,weekly change in noncommercial net contracts vs next tuesday single-day return,noncommercial_net_change,-0.08779314444249413,558,next_week_tuesday_daily_return
noncommercial,weekly change in noncommercial net contracts vs next wednesday close return,noncommercial_net_change,-0.07745320679523392,558,next_week_wednesday_return
noncommercial,weekly change in noncommercial net contracts vs next wednesday single-day return,noncommercial_net_change,-0.04441650883894981,558,next_week_wednesday_daily_return
noncommercial,weekly change in noncommercial net contracts vs next thursday close return,noncommercial_net_change,-0.06492868346350307,558,next_week_thursday_return
noncommercial,weekly change in noncommercial net contracts vs next thursday single-day return,noncommercial_net_change,-0.019916738030107663,558,next_week_thursday_daily_return
noncommercial,weekly change in noncommercial net contracts vs next friday close return,noncommercial_net_change,-0.06687651423530684,558,next_week_friday_return
noncommercial,weekly change in noncommercial net contracts vs next friday single-day return,noncommercial_net_change,0.0022849815341962525,558,next_week_friday_daily_return
