market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,1d,regime,Mixed,320,0.039321,0.117421,57.8125,-0.371165,-11.98405,1.30625,0.030102,0.057063,-0.017742,-0.503256,0.614784
sp500,S&P 500,1d,regime,Caution,21,-0.130135,-0.244261,38.095238,-0.459278,-2.95181,1.059813,-0.122791,0.057063,-0.187199,-0.820293,0.412049
sp500,S&P 500,1d,regime,Risk-On,93,0.160382,0.015506,52.688172,-0.3171,-2.140012,1.231182,0.130267,0.057063,0.103319,0.903286,0.366374
sp500,S&P 500,1d,score_sign,Negative,135,0.030106,0.096905,54.814815,-0.326379,-2.99688,0.953107,0.031587,0.057063,-0.026957,-0.339187,0.734469
sp500,S&P 500,1d,score_sign,Zero,188,0.099432,0.131575,57.978723,-0.343202,-7.596968,1.202623,0.08268,0.057063,0.042369,0.611468,0.54089
sp500,S&P 500,1d,score_sign,Positive,111,0.018089,0.039832,53.153153,-0.444368,-11.98405,1.692938,0.010685,0.057063,-0.038975,-0.304413,0.760813
sp500,S&P 500,1d,score_intensity,Mild Negative,114,0.059624,0.107367,57.894737,-0.301897,-2.99688,0.93423,0.063822,0.057063,0.002561,0.029756,0.976261
sp500,S&P 500,1d,score_intensity,Zero,188,0.099432,0.131575,57.978723,-0.343202,-7.596968,1.202623,0.08268,0.057063,0.042369,0.611468,0.54089
sp500,S&P 500,1d,score_intensity,Caution,15,-0.390157,-0.370179,26.666667,-0.559891,-2.95181,0.975844,-0.399815,0.057063,-0.447221,-1.783853,0.074448
sp500,S&P 500,1d,score_intensity,Extreme Negative,6,0.519919,0.46207,66.666667,-0.207744,-0.655962,1.056662,0.49204,0.057063,0.462856,1.076961,0.281498
sp500,S&P 500,1d,score_intensity,Risk-On,59,0.015571,-0.004137,49.152542,-0.301232,-2.004123,0.849392,0.018332,0.057063,-0.041492,-0.368541,0.71247
sp500,S&P 500,1d,score_intensity,Mild Positive,18,-0.717095,0.155409,55.555556,-1.10192,-11.98405,3.107844,-0.230737,0.057063,-0.774159,-1.099407,0.271591
sp500,S&P 500,1d,score_intensity,Extreme Positive,34,0.411672,0.088361,58.823529,-0.344637,-2.140012,1.689766,0.243627,0.057063,0.354609,1.298495,0.194117
sp500,S&P 500,2d,regime,Mixed,320,0.16794,0.231214,58.75,-0.547756,-11.98405,1.361166,0.12338,0.157465,0.010475,0.22371,0.822983
sp500,S&P 500,2d,regime,Caution,21,0.143686,0.324299,57.142857,-0.730153,-3.65384,1.711534,0.083952,0.157465,-0.013779,-0.038079,0.969625
sp500,S&P 500,2d,regime,Risk-On,93,0.124534,0.022829,52.688172,-0.651828,-4.800735,1.732577,0.071878,0.157465,-0.032932,-0.215347,0.829497
sp500,S&P 500,2d,score_sign,Negative,135,0.123883,0.15215,55.555556,-0.527037,-3.65384,1.28301,0.096557,0.157465,-0.033582,-0.343755,0.73103
sp500,S&P 500,2d,score_sign,Zero,188,0.260647,0.302469,62.234043,-0.503257,-7.596968,1.352506,0.192714,0.157465,0.103182,1.308332,0.190761
sp500,S&P 500,2d,score_sign,Positive,111,0.02355,0.007051,51.351351,-0.770026,-11.98405,1.806886,0.013033,0.157465,-0.133916,-0.964049,0.335021
sp500,S&P 500,2d,score_intensity,Mild Negative,114,0.120235,0.122105,55.263158,-0.489621,-3.433676,1.197278,0.100424,0.157465,-0.03723,-0.356541,0.721436
sp500,S&P 500,2d,score_intensity,Zero,188,0.260647,0.302469,62.234043,-0.503257,-7.596968,1.352506,0.192714,0.157465,0.103182,1.308332,0.190761
sp500,S&P 500,2d,score_intensity,Caution,15,-0.361033,-0.181247,40.0,-0.939117,-3.65384,1.734009,-0.208207,0.157465,-0.518499,-1.184797,0.236098
