market,market_label,horizon,observations,score_return_corr,score_return_ols_slope,score_return_hac_t,score_return_hac_p_value,hac_lags,corr_permutation_p_value,positive_score_observations,negative_score_observations,positive_minus_negative_avg_return_pct,positive_minus_negative_welch_t,positive_minus_negative_bootstrap_ci_low_pct,positive_minus_negative_bootstrap_ci_high_pct,risk_on_observations,caution_observations,risk_on_minus_caution_avg_return_pct,risk_on_minus_caution_welch_t,risk_on_minus_caution_hac_t,risk_on_minus_caution_hac_p_value,minimum_directional_bucket_observations,drift_adjusted_observations,drift_adjusted_accuracy_pct,evidence_grade,extreme_score_observations,mild_score_observations,extreme_avg_abs_return_pct,mild_avg_abs_return_pct,extreme_minus_mild_abs_return_pct
sp500,S&P 500,1d,434,0.029883,0.028569,0.591921,0.553904,1,0.551724,111,135,-0.012018,-0.066611,-0.382476,0.31819,93,21,0.290518,1.099744,1.118433,0.263382,21,221,49.773756,Unclear,40,132,1.076115,0.775691,0.300424
sp500,S&P 500,2d,434,-0.023101,-0.025256,-0.416164,0.67729,1,0.652174,111,135,-0.100334,-0.491889,-0.492608,0.28697,93,21,-0.019153,-0.046212,-0.046225,0.963131,21,221,47.963801,Unclear,40,132,1.684835,0.979266,0.705569
sp500,S&P 500,3d,434,-0.004637,-0.006812,-0.09104,0.927461,1,0.929535,111,135,-0.057311,-0.222791,-0.538142,0.447041,93,21,-0.298869,-0.565683,-0.578482,0.562939,21,221,51.58371,Unclear,40,132,2.286155,1.228709,1.057446
sp500,S&P 500,1w,434,0.009602,0.018195,0.194392,0.845869,1,0.857071,111,135,-0.043884,-0.135705,-0.684903,0.579933,93,21,0.343693,0.581648,0.591267,0.554341,21,221,51.58371,Unclear,40,132,2.67274,1.487166,1.185574
sp500,S&P 500,2w,433,0.056919,0.143045,0.9743,0.329908,1,0.228386,111,135,0.38798,0.985514,-0.374678,1.162081,93,21,1.081883,1.557496,1.340179,0.180187,21,221,54.298643,Unclear,40,132,3.363875,2.17062,1.193254
sp500,S&P 500,4w,430,0.087541,0.329276,1.235195,0.216758,3,0.068466,111,132,1.018653,1.819791,-0.068498,2.09252,93,21,1.963413,1.75974,1.485599,0.137385,21,218,52.293578,Unclear,40,129,5.305703,3.088863,2.21684
sp500,S&P 500,13w,421,0.103444,0.597683,0.912119,0.361706,12,0.030485,111,123,1.771087,1.841965,-0.180286,3.606631,93,21,6.855076,4.269646,2.949203,0.003186,21,209,55.980861,Supported,40,120,8.608391,5.97898,2.62941
sp500,S&P 500,26w,408,0.139839,1.052157,1.114148,0.265216,25,0.004498,110,121,2.795197,2.277639,0.311638,5.082941,92,21,11.78463,6.113039,3.08481,0.002037,21,206,55.825243,Supported,40,118,11.229288,9.996458,1.23283
sp500,S&P 500,52w,381,0.283362,3.176657,2.122049,0.033834,51,0.0005,109,99,9.533216,5.443028,6.071142,12.947849,92,21,19.559384,6.849651,3.498471,0.000468,21,183,71.038251,Supported,40,95,25.113865,18.039053,7.074811
nq,NASDAQ-100,1d,456,0.009756,0.014245,0.195064,0.845343,1,0.822589,114,89,0.223465,0.897647,-0.267202,0.740959,52,0,,,,,0,184,52.173913,Insufficient,20,151,1.037898,1.10356,-0.065661
