dataset,market,category,position_change_metric,horizon,pearson_r,observations
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1d_post_release,0.07450804256310387,536
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2d_post_release,-0.019725043060759687,536
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,3d_post_release,0.008444550708573167,536
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,0.04248619229921564,536
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,2w_post_release,0.08521312596210148,535
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,4w_post_release,0.019034306161651658,532
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,13w_post_release,-0.04480123931951784,523
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1d_post_release,0.05123304966994338,536
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2d_post_release,-0.031118146065310222,536
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,3d_post_release,-0.015334828181075016,536
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,1w_post_release,0.01576005462061139,536
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,2w_post_release,0.09305489560595863,535
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,4w_post_release,0.05273167781446215,532
tff_disaggregated,sp500,asset_mgr,long_oi_pct_change,13w_post_release,-0.017927156789024453,523
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1d_post_release,-0.014059684352301266,536
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2d_post_release,-0.03383746285567597,536
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,3d_post_release,-0.04682678612946356,536
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,1w_post_release,-0.03680316322475493,536
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,2w_post_release,0.057463493618860044,535
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,4w_post_release,0.08095968554063761,532
tff_disaggregated,sp500,asset_mgr,short_oi_pct_change,13w_post_release,0.035084266476450875,523
tff_disaggregated,sp500,dealer,net_oi_pct_change,1d_post_release,-0.07075100020360915,536
