dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx,mean_diff_pct_points
tff_disaggregated,sp500,other_reportable,net_oi_pct_change,1w_post_release,268,0.005199107974818164,0.005195716791974503,0.6492537313432836,0.024244303892662213,268,0.00043440293094925217,0.001399854193200878,0.5373134328358209,0.022562919081240217,0.004764705043868912,2.3551876988744356,0.01851335160292746,0.4764705043868912
tff_disaggregated,nq,other_reportable,net_oi_pct_change,1w_post_release,282,0.006215401548051485,0.006611831296853388,0.6099290780141844,0.028682970172702597,276,0.0021398182057469875,0.0025891511320265126,0.5543478260869565,0.02789725634115979,0.004075583342304498,1.7015317728284265,0.08884317680057068,0.4075583342304498
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,1w_post_release,258,0.00635209460560402,0.007706191253241679,0.624031007751938,0.028922277569587884,300,0.0023483088436361656,0.0025891511320265126,0.5466666666666666,0.027754070570235205,0.004003785761967854,1.6610689577777473,0.09669959809539411,0.40037857619678546
legacy,sp500,noncommercial,net_oi_pct_change,1w_post_release,274,0.003659646577652773,0.00420692909910525,0.5985401459854015,0.023290079968455717,262,0.0019352586277435416,0.0036161543026261844,0.5877862595419847,0.02376656835575822,0.0017243879499092315,0.847943336443367,0.39646952825284576,0.17243879499092316
tff_disaggregated,sp500,asset_mgr,net_oi_pct_change,1w_post_release,239,0.0035537094445930654,0.00487206115941774,0.606694560669456,0.02257628117942535,297,0.0022237184023162463,0.003226667520847215,0.5824915824915825,0.024270904014901253,0.0013299910422768192,0.6555569697116082,0.5121092196794664,0.1329991042276819
tff_disaggregated,nq,lev_money,net_oi_pct_change,1w_post_release,297,0.003628112433683332,0.004250284871205601,0.5723905723905723,0.02910482150924438,261,0.00484974585644727,0.005931325215613237,0.5938697318007663,0.027496410372103777,-0.0012216334227639378,-0.509504639692338,0.610398547007219,-0.12216334227639378
tff_disaggregated,nq,dealer,net_oi_pct_change,1w_post_release,290,0.004772462609128301,0.006063114629009991,0.593103448275862,0.029257725285095487,268,0.0035795481518264166,0.003972655836886663,0.5708955223880597,0.027364472155322218,0.001192914457301884,0.4976590183228958,0.6187243979731551,0.1192914457301884
legacy,nq,total_reportable,net_oi_pct_change,1w_post_release,289,0.00446855160326734,0.004554236496336461,0.5778546712802768,0.028816591883937294,269,0.0039104893977413594,0.005185481972985295,0.587360594795539,0.027880501490887867,0.0005580622055259806,0.23246505292682026,0.8161768275040392,0.055806220552598054
legacy,nq,nonreportable,net_oi_pct_change,1w_post_release,269,0.0039104893977413594,0.005185481972985295,0.587360594795539,0.027880501490887867,289,0.00446855160326734,0.004554236496336461,0.5778546712802768,0.028816591883937294,-0.0005580622055259806,-0.23246505292682026,0.8161768275040392,-0.055806220552598054
tff_disaggregated,nq,non_reportable,net_oi_pct_change,1w_post_release,269,0.0039104893977413594,0.005185481972985295,0.587360594795539,0.027880501490887867,289,0.00446855160326734,0.004554236496336461,0.5778546712802768,0.028816591883937294,-0.0005580622055259806,-0.23246505292682026,0.8161768275040392,-0.055806220552598054
legacy,sp500,commercial,net_oi_pct_change,1w_post_release,266,0.0025488824294259194,0.004291049463707175,0.6052631578947368,0.024376032836971814,270,0.003080659987105086,0.003248951850679971,0.5814814814814815,0.022683234676010636,-0.0005317775576791665,-0.26137132730238594,0.7938061662130577,-0.053177755767916654
legacy,nq,noncommercial,net_oi_pct_change,1w_post_release,281,0.004416351899362704,0.004027379474335735,0.5729537366548043,0.027356034432705973,277,0.00397956020799916,0.0065062727277525045,0.592057761732852,0.029362457191523895,0.0004367916913635443,0.18174986786121342,0.855779028773052,0.04367916913635443
tff_disaggregated,sp500,dealer,net_oi_pct_change,1w_post_release,297,0.0029572779835536226,0.004264814133235095,0.6127946127946128,0.023992666266525322,239,0.0026421312202102166,0.0025331367052392473,0.5690376569037657,0.02296342238862961,0.00031514676334340594,0.15480088872111744,0.8769782905589669,0.031514676334340595
tff_disaggregated,sp500,lev_money,net_oi_pct_change,1w_post_release,266,0.002908020963369725,0.0038428408237667355,0.6015037593984962,0.02383252606459044,270,0.002726842024034522,0.0036161543026261844,0.5851851851851851,0.02324791833299432,0.0001811789393352031,0.08907662371139152,0.9290210151062528,0.01811789393352031
tff_disaggregated,sp500,non_reportable,net_oi_pct_change,1w_post_release,276,0.002777393421826431,0.00420692909910525,0.6014492753623188,0.021407175654872147,260,0.0028585397627752802,0.0031473862014193,0.5846153846153846,0.025610875200926177,-8.114634094884927e-05,-0.039675046553214154,0.9683521959743328,-0.008114634094884927
legacy,sp500,total_reportable,net_oi_pct_change,1w_post_release,260,0.0028585397627752802,0.0031473862014193,0.5846153846153846,0.025610875200926177,276,0.002777393421826431,0.00420692909910525,0.6014492753623188,0.021407175654872147,8.114634094884927e-05,0.039675046553214154,0.9683521959743328,0.008114634094884927
legacy,sp500,nonreportable,net_oi_pct_change,1w_post_release,276,0.002777393421826431,0.00420692909910525,0.6014492753623188,0.021407175654872147,260,0.0028585397627752802,0.0031473862014193,0.5846153846153846,0.025610875200926177,-8.114634094884927e-05,-0.039675046553214154,0.9683521959743328,-0.008114634094884927
legacy,nq,commercial,net_oi_pct_change,1w_post_release,272,0.004194728685898945,0.007234031358013704,0.5955882352941176,0.029526576394563506,286,0.004204079925776831,0.003383911594514566,0.5699300699300699,0.02722595109371375,-9.351239877886108e-06,-0.003883893083500181,0.996901109463802,-0.0009351239877886108
