market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,1d,regime,Mixed,266,0.046505,0.06981,53.383459,-0.399082,-11.98405,1.437365,0.032354,0.057063,-0.010559,-0.234873,0.814307
sp500,S&P 500,1d,regime,Caution,158,0.03958,0.114338,59.493671,-0.308428,-3.351359,0.935238,0.042321,0.057063,-0.017483,-0.240615,0.809854
sp500,S&P 500,1d,regime,Risk-On,10,0.61416,0.144965,60.0,-0.302066,-1.152747,1.492752,0.411428,0.057063,0.557096,1.19778,0.231003
sp500,S&P 500,1d,score_sign,Zero,100,0.087077,0.071517,51.0,-0.396326,-7.596968,1.374664,0.063344,0.057063,0.030014,0.253976,0.799514
sp500,S&P 500,1d,score_sign,Negative,222,0.014594,0.095041,56.306306,-0.300314,-3.351359,0.87727,0.016636,0.057063,-0.042469,-0.698896,0.484617
sp500,S&P 500,1d,score_sign,Positive,112,0.114445,0.144965,58.928571,-0.460765,-11.98405,1.775794,0.064447,0.057063,0.057382,0.434974,0.663582
sp500,S&P 500,1d,score_intensity,Zero,100,0.087077,0.071517,51.0,-0.396326,-7.596968,1.374664,0.063344,0.057063,0.030014,0.253976,0.799514
sp500,S&P 500,1d,score_intensity,Caution,120,0.027397,0.168774,59.166667,-0.331363,-3.351359,0.972454,0.028173,0.057063,-0.029666,-0.347312,0.728357
sp500,S&P 500,1d,score_intensity,Extreme Negative,38,0.078054,0.086487,60.526316,-0.236003,-2.99688,0.817291,0.095503,0.057063,0.020991,0.155287,0.876595
sp500,S&P 500,1d,score_intensity,Mild Negative,64,-0.04709,-0.009885,48.4375,-0.280284,-2.077348,0.717324,-0.065647,0.057063,-0.104153,-1.07221,0.283626
sp500,S&P 500,1d,score_intensity,Mild Positive,102,0.065453,0.128344,58.823529,-0.476323,-11.98405,1.799988,0.036363,0.057063,0.00839,0.058434,0.953403
sp500,S&P 500,1d,score_intensity,Risk-On,6,1.458073,1.81796,83.333333,-0.047051,-0.282305,1.301064,1.120677,0.057063,1.40101,2.656973,0.007885
sp500,S&P 500,1d,score_intensity,Extreme Positive,4,-0.651711,-0.792804,25.0,-0.684589,-1.152747,0.550177,-1.184547,0.057063,-0.708774,-2.537209,0.011174
sp500,S&P 500,2d,regime,Mixed,266,0.137932,0.116694,55.263158,-0.612326,-11.98405,1.494017,0.092323,0.157465,-0.019534,-0.354155,0.723223
sp500,S&P 500,2d,regime,Caution,158,0.126384,0.260679,60.759494,-0.519533,-6.277882,1.298635,0.097321,0.157465,-0.031081,-0.351065,0.72554
sp500,S&P 500,2d,regime,Risk-On,10,1.168143,1.20983,60.0,-0.627012,-2.066482,2.564385,0.455526,0.157465,1.010677,1.271108,0.20369
